legacy_type,legacy_shade,products,bare,full,forms
PRL,YS,10,0.0,0.0,Y_PEARL 100%
PTOUR,,4052,0.692,0.0,P.TO 25%; P.TOUR 22%; PT 9%
PTOUR,C,21,0.143,0.0,PT C 22%; PT.C 22%; P.TO C 11%
PTOUR,SP,3,1.0,0.0,
RDC,,4,0.0,0.0,RHODOC 75%; RHDOC 25%
RDF,,1986,0.864,0.0,RDF 66%; RDF BRI 12%; RDF SMOOTH 2%
RHO,,4085,0.872,0.0,RHO 78%; RHOD 3%; RUBY + RHO 1%
RHO,C,2,0.0,0.0,RHO.C 50%; RHO_C 50%
RU,,13,0.231,0.0,RUBY 50%; RU 10%; R.CUT RU 10%
RU,2,544,0.064,0.735,RU2 65%; RUBIES RU2 4%; RUBY 3%
RU,3,1,0.0,1.0,
RU,C,209,0.096,0.766,RUC 72%; RUBY 4%; RUC CAB 3%
RU,CS,324,0.077,0.747,RUCS 69%; RUCS + ONYX 1%; RUBY + ONYX 1%
RU,M,20,0.0,0.9,RUM 38%; RUM + 1DTS 25%; RUM + 1DT 12%
RU,SP,82,0.037,0.451,RUSP 19%; RU SP 10%; OX + RUSP 4%
RUBE,,524,0.594,0.0,RUBELITE 32%; RUBEL 27%; RUBE 9%
RUBE,C,12,0.25,0.0,RUBE.C 33%; RUBE_BRI 17%; RUBE_BR 17%
RUBE,GO,2,0.0,0.0,RUTILE.Q 100%
RUT,,12,0.25,0.0,RUTILE 38%; RUTILE.Q 25%; G.RUTILE 12%
RUT,BR,1,0.0,0.0,BR.RUTILE 100%
RUT,GO,31,0.065,0.0,GOLD RUTILE 36%; G.RUT + OX 18%; G_RUT + SIL 9%
RUT,SIL,7,0.0,0.0,SILVER RUTILE 75%; SILVER.RUTILE 25%
SA,,42,0.024,0.0,MIX SA 14%; SA.BRIO 14%; SA BRIO 7%
SA,2,138,0.203,0.558,SA2 61%; SA 14%; SA2 PT 3%
SA,3,1,0.0,1.0,
SA,A,1,0.0,0.0,SAPH DRP BRIO 100%
SA,BB,20,0.0,0.75,SABB 82%; BK.SAP 6%; W.M + BK.SA 6%
SA,BK,10,0.0,0.0,BL.SAP + SIL 56%; BK.SAP + SIL 33%; BL.SA 11%
SA,BLST,1,0.0,0.0,
SA,BST,17,0.0,0.0,B.STAR.SA 33%; BL.STAR 33%; STAR 33%
SA,CS,118,0.025,0.72,SACS 85%; AAQUOTATION 5%; AAQUATATION 2%
SA,DD,28,0.0,0.0,SKDD 92%; SKDD CAB 8%
SA,DF,3,0.0,0.0,SKDF 100%
SA,GR,224,0.04,0.125,SAGR 50%; GR.SA 19%; GR.SAP 12%
SA,IC,425,0.078,0.016,SAIC 50%; BTA + IC 50%
SA,LC,3342,0.024,0.122,SALC 66%; AAQUOTATION 6%; LC 3%
SA,LCM,4,0.0,0.0,
SA,LD,3,0.0,0.0,SKDL 100%
SA,LF,1,0.0,0.0,SKLF 100%
SA,LPL,1,0.0,0.0,
SA,LVIO,12,0.0,0.0,SPES + VIO SAP 100%
SA,MVIO,2,0.0,0.0,
SA,OC,2579,0.037,0.313,SAOC 73%; OC 2%; BLUE.SAP OC 1%
SA,OR,1632,0.002,0.148,SAOR 68%; NO PRL + SAOR 7%; OR 4%
SA,ORL,42,0.0,0.0,L.SAOR 100%
SA,PAD,1,0.0,0.0,
SA,PF,1196,0.018,0.122,SAPF 73%; PINK.SAP PF 9%; SAPL 2%
SA,PL,5213,0.007,0.137,SAPL 74%; AAQUOTATION 4%; NO PRL + SAPL 2%
SA,PLM,1,0.0,0.0,
SA,PM,2147,0.02,0.099,SAPM 54%; PM 8%; NO PRL + SAPM 4%
SA,PMM,2,0.0,0.0,
SA,SP,2,0.0,0.0,SAPSP 100%
SA,TL,1,1.0,0.0,
